id,name,slug,status,twitter,twitter_handles,parent,appeal_agency,url,foia_logs,foia_guide,public_notes,absolute_url,average_response_time,fee_rate,success_rate,has_portal,has_email,has_fax,has_address,number_requests,number_requests_completed,number_requests_rejected,number_requests_no_docs,number_requests_ack,number_requests_resp,number_requests_fix,number_requests_appeal,number_requests_pay,number_requests_partial,number_requests_lawsuit,number_requests_withdrawn,jurisdiction name,jurisdiction parent,jurisdiction level
1,Suffolk County Sheriff's Department,suffolk-county-sheriffs-department,approved,,,,,,,,,https://www.muckrock.com/agency/suffolk-county-11/suffolk-county-sheriffs-department-1/,167,11.0,26.0,False,True,True,True,45,12,1,21,0,2,4,0,4,0,0,1,Suffolk County,Massachusetts,l
2,"Traffic, Parking & Transportation",traffic-parking-transportation,approved,,,,,,,,,https://www.muckrock.com/agency/cambridge-5/traffic-parking-transportation-2/,0,0.0,33.0,False,True,False,True,3,1,0,0,0,0,0,0,0,0,0,2,Cambridge,Massachusetts,l
3,Office of Michael P. Ross,office-of-michael-p-ross,approved,,,,,,,,,https://www.muckrock.com/agency/boston-3/office-of-michael-p-ross-3/,0,0.0,0.0,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,Boston,Massachusetts,l
6,Central Intelligence Agency,central-intelligence-agency,approved,,,,,,,,,https://www.muckrock.com/agency/united-states-of-america-10/central-intelligence-agency-6/,234,0.0,11.0,True,False,False,True,1446,169,401,151,31,467,47,99,5,2,0,66,United States of America,,f
7,"Department of Defense, Office of the Secretary of Defense",office-of-the-secretary-of-defense,approved,,,,7143,http://www.dod.mil/pubs/foi/dfoipo/foiaHandbook.html,,,,https://www.muckrock.com/agency/united-states-of-america-10/office-of-the-secretary-of-defense-7/,230,1.0,25.0,True,True,False,True,313,74,41,70,1,50,14,2,1,6,0,47,United States of America,,f
8,"Department of Homeland Security, Office of Intelligence & Analysis",under-secretary-office-of-intelligence-analysis,approved,,,,,,,,,https://www.muckrock.com/agency/united-states-of-america-10/under-secretary-office-of-intelligence-analysis-8/,169,0.0,33.0,True,True,False,True,140,45,19,36,3,7,7,4,0,2,0,16,United States of America,,f
9,Department of Homeland Security,department-of-homeland-security,approved,,,,6469,http://www.dhs.gov/about-privacy-office,,,,https://www.muckrock.com/agency/united-states-of-america-10/department-of-homeland-security-9/,188,0.0,19.0,False,True,True,True,682,129,72,66,68,92,110,10,2,3,0,127,United States of America,,f
10,Federal Bureau of Investigation,federal-bureau-of-investigation,approved,,,,5123,http://www.fbi.gov/foia/contact-the-record-information-dissemination-section-rids,,,"Note: Ryan Shapiro provided fantastic tips on submitting FOIA requests to the FBI in <a href=""https://www.muckrock.com/news/archives/2013/dec/20/requesters-voice-ryan-shapiro-street-fighting-fbi-/"">his Requester's Voice interview</a>. We highly recommend following Shapiro's suggestions of including ""cross-reference"" and ""ELSUR (Electronic Surveillance)"" search requests in your request language.",https://www.muckrock.com/agency/united-states-of-america-10/federal-bureau-of-investigation-10/,156,2.0,21.0,True,True,True,True,6328,1293,832,2253,3,1213,202,111,76,52,6,283,United States of America,,f
11,Mayor's Office,mayors-office,approved,,,,,,,,,https://www.muckrock.com/agency/boston-3/mayors-office-11/,74,14.0,57.0,False,True,False,True,99,57,0,24,2,3,2,0,3,0,0,8,Boston,Massachusetts,l
12,Executive Office for United States Attorneys,executive-office-for-united-states-attorneys,approved,,,,,,,,,https://www.muckrock.com/agency/united-states-of-america-10/executive-office-for-united-states-attorneys-12/,429,0.0,15.0,True,True,False,True,63,10,8,8,2,20,5,1,0,0,0,9,United States of America,,f
