id,name,slug,status,twitter,twitter_handles,parent,appeal_agency,url,foia_logs,foia_guide,public_notes,absolute_url,average_response_time,fee_rate,success_rate,has_portal,has_email,has_fax,has_address,number_requests,number_requests_completed,number_requests_rejected,number_requests_no_docs,number_requests_ack,number_requests_resp,number_requests_fix,number_requests_appeal,number_requests_pay,number_requests_partial,number_requests_lawsuit,number_requests_withdrawn,jurisdiction name,jurisdiction parent,jurisdiction level
274,Massachusetts State Police,massachusetts-state-police,approved,,,,330,http://www.mass.gov/eopss/contact-us.html#a16,,,,https://www.muckrock.com/agency/massachusetts-1/massachusetts-state-police-274/,86,11,34,False,True,True,True,255,82,42,39,17,10,17,3,12,5,0,28,Massachusetts,United States of America,s
354,New York State Police,new-york-state-police,approved,,,,,https://www.troopers.ny.gov/FAQs/Request_Government_Records/,,,"Appeals should be sent:

New York State Police
Attn: Records Appeal Officer
1220 Washington Avenue - Building 22
Albany NY 12226-2252",https://www.muckrock.com/agency/new-york-16/new-york-state-police-354/,84,12,21,False,True,False,True,79,16,11,27,2,7,7,1,4,1,0,3,New York,United States of America,s
372,Virginia State Police,virginia-state-police,approved,,,,,http://www.vsp.state.va.us/,,,,https://www.muckrock.com/agency/virginia-128/virginia-state-police-372/,11,20,10,False,True,True,True,79,7,19,22,0,2,9,2,9,1,0,8,Virginia,United States of America,s
435,Pennsylvania State Police,pennsylvania-state-police,approved,,,,,http://www.portal.state.pa.us/portal/server.pt?open=512&objID=4451&&PageID=457042&mode=2,,,,https://www.muckrock.com/agency/pennsylvania-126/pennsylvania-state-police-435/,59,5,23,False,True,False,True,72,16,14,18,7,11,1,0,0,1,0,4,Pennsylvania,United States of America,s
423,Illinois State Police,illinois-state-police,approved,,,,,http://www.isp.state.il.us/foia/foia.cfm,,,,https://www.muckrock.com/agency/illinois-168/illinois-state-police-423/,28,1,39,False,True,False,True,71,28,2,24,1,10,3,1,1,0,0,1,Illinois,United States of America,s
633,Michigan State Police,michigan-state-police,approved,,,,,"http://www.michigan.gov/msp/0,4643,7-123-63999---,00.html",,,,https://www.muckrock.com/agency/michigan-117/michigan-state-police-633/,28,30,22,False,True,True,True,66,14,8,6,2,4,5,0,20,1,0,6,Michigan,United States of America,s
827,Delaware State Police,delaware-state-police,approved,,,,,http://dsp.delaware.gov/contact.shtml,,,,https://www.muckrock.com/agency/delaware-236/delaware-state-police-827/,109,0,25,False,False,False,True,64,15,13,12,14,3,1,0,0,1,0,5,Delaware,United States of America,s
839,New Jersey State Police,new-jersey-state-police,approved,,,,,http://www.njsp.org/info/info.html,,,"Note: New Jersey State Police requires an OPRA form to be filled out, including maximum authorized cost, for a formal public records request. That form is available <a href=""http://www.njpublicsafety.com/opra/lps_opra_form_v02.10.11.pdf"">here</a>.",https://www.muckrock.com/agency/new-jersey-229/new-jersey-state-police-839/,60,1,30,True,False,False,False,60,17,17,14,2,6,0,0,0,1,0,2,New Jersey,United States of America,s
790,Connecticut State Police,connecticut-state-police,approved,,,,,http://www.ct.gov/despp/cwp/view.asp?a=4225&Q=494962&desppNAV_GID=2089,,,,https://www.muckrock.com/agency/connecticut-53/connecticut-state-police-790/,137,5,25,False,True,True,True,59,14,2,14,0,17,3,0,3,1,0,5,Connecticut,United States of America,s
850,Vermont State Police,vermont-state-police,approved,,,,,http://vsp.vermont.gov/records,,,,https://www.muckrock.com/agency/vermont-80/vermont-state-police-850/,58,5,46,False,True,False,True,58,27,1,15,0,3,8,0,2,0,0,2,Vermont,United States of America,s
834,Maryland State Police,maryland-state-police,approved,,,,,http://mdsp.maryland.gov/Pages/PublicInformationRequest.aspx,,,Submit request originally through form at bottom of this page,https://www.muckrock.com/agency/maryland-154/maryland-state-police-834/,39,3,37,False,True,False,True,56,21,2,23,2,3,3,0,0,0,0,2,Maryland,United States of America,s
2616,Empire State Development,empire-state-development,approved,,,,,http://www.empire.state.ny.us/FOIL.html,,,,https://www.muckrock.com/agency/new-york-16/empire-state-development-2616/,96,0,59,False,True,True,True,52,29,8,6,0,4,3,0,0,2,0,0,New York,United States of America,s
398,Indiana State Police,indiana-state-police,approved,,,,,,,,,https://www.muckrock.com/agency/indiana-152/indiana-state-police-398/,21,0,26,False,True,False,False,50,13,1,20,1,3,10,0,0,0,0,2,Indiana,United States of America,s
846,Oregon State Police,oregon-state-police,approved,,,,,http://www.oregon.gov/osp/PRR/pages/prr_forms.aspx,,,,https://www.muckrock.com/agency/oregon-158/oregon-state-police-846/,33,22,12,False,True,True,True,50,5,3,26,0,2,4,0,6,1,0,3,Oregon,United States of America,s
768,Maine State Police,maine-state-police,approved,,,,,http://www.maine.gov/dps/msp/contact.html,,,,https://www.muckrock.com/agency/maine-13/maine-state-police-768/,33,10,31,False,True,False,True,48,15,7,13,1,0,4,0,1,0,0,7,Maine,United States of America,s
